new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-DRY-GOODS-065,ENVELOPE A5,DRY GOODS,pcs,5.0,5.0,1000.0,foodstuffs,FG-359,FG-359,1,OK,
FGH-DRY-GOODS-066,EXE ALL PURPOSE,DRY GOODS,pkt,155.0,166.0,906.0,foodstuffs,FG-3,FG-3,1,OK,
FGH-DRY-GOODS-067,FALCON RICE,DRY GOODS,kg,100.0,100.0,996.0,foodstuffs,FG-399,FG-399,1,OK,
FGH-DRY-GOODS-068,FAMILA WIMBI,DRY GOODS,pkt,100.0,100.0,994.0,foodstuffs,FG-390,FG-390,1,OK,
FGH-DRY-GOODS-069,FILM,DRY GOODS,pcs,700.0,700.0,991.0,foodstuffs,FG-96,FG-96,1,OK,
FGH-DRY-GOODS-070,FISH,DRY GOODS,kg,280.0,280.0,530.0,foodstuffs,FG-18,FG-18,1,OK,
FGH-DRY-GOODS-071,FISH FILLETS,DRY GOODS,kg,275.0,275.0,1000.0,foodstuffs,FG-145,FG-145,1,OK,
FGH-DRY-GOODS-072,FISH MASALA,DRY GOODS,pcs,200.0,200.0,998.0,foodstuffs,FG-58,FG-58,1,OK,
FGH-DRY-GOODS-073,FOIL,DRY GOODS,pcs,1400.0,1400.0,990.0,foodstuffs,FG-97,FG-97,1,OK,
FGH-DRY-GOODS-074,FRESH MILK,DRY GOODS,L,0,0,0,foodstuffs,FG-443,FG-443 | FGH-FOOD-FRESHM-0001,2,MEDIUM,CATEGORY
FGH-DRY-GOODS-075,GARAM MASALA,DRY GOODS,pcs,190.0,190.0,997.0,foodstuffs,FG-45,FG-45,1,OK,
FGH-DRY-GOODS-076,GARLIC,DRY GOODS,pcs,25.0,25.0,955.0,foodstuffs,FG-92,FG-92,1,OK,
FGH-DRY-GOODS-077,GARLIC POWDER,DRY GOODS,pcs,180.0,180.0,990.0,foodstuffs,FG-49,FG-49,1,OK,
FGH-DRY-GOODS-078,GINGER,DRY GOODS,kg,250.0,200.0,976.0,foodstuffs,FG-88,FG-88,1,OK,
FGH-DRY-GOODS-079,GINGER POWDER,DRY GOODS,pcs,150.0,150.0,999.0,foodstuffs,FG-48,FG-48,1,OK,
